,signal_id,good_noise_effect,note
0,180224_02_1,1,
1,180224_05_1,,
2,180224_07_1,,
3,180224_09_1,,
4,180224_09_2,1,
5,180224_10_1,,
6,180224_10_2,,
7,180317_05_1,,
8,180317_06_1,,
9,180317_07_1,,
10,180317_08_1,,
11,180317_09_1,,
12,180317_11_1,,
13,180317_12_1,,
14,180317_13_1,1,
15,180317_14_1,,
16,180317_15_1,1,
17,180317_16_1,,
18,180325_05_1,1,
19,180325_06_1,1,
20,180325_07_1,1,
21,180325_08_1,1,
22,180325_09_1,,
23,180325_09_2,1,
24,180325_10_1,1,
25,180407_04_1,,
26,180407_04_3,1,
27,180407_16_2,,
28,180411_04_2,,suppressed
29,180411_06_1,,
30,180411_07_1,,
31,180411_08_2, ,
32,180411_09_1,1,
33,180411_10_1,1,
34,180411_15_1,1,
35,180411_16_2,1,
36,180413_01_1,,
37,180413_01_2,,
38,180413_02_1,,
39,180413_04_1,,
40,180413_05_2,,
41,180413_06_1,,
42,180413_06_2,1,
43,180413_07_1,,
44,180413_07_3,,
45,180413_08_1,,
46,180413_10_1,1,
47,180413_10_2,,
48,180413_11_1,,
49,180418_02_1,,
50,180418_04_1,1,
51,180418_05_1,,
52,180418_06_1,,
53,180418_07_1,,
54,180418_08_1,,
55,180418_10_1,,
56,180418_11_2,,
57,180418_15_1,,
58,180418_16_2,,
59,180420_01_1,,
60,180420_02_1,,
61,180420_02_2,,
62,180420_03_1,,
63,180420_03_2,,
64,180420_04_1,,
65,180420_04_2,,
66,180420_05_2,,
67,180420_06_2,,
68,180420_07_1,,
69,180420_07_3,,
70,180420_08_1,,
71,180420_09_1,,
72,180420_09_2,,
73,180420_10_2,,
74,180420_11_2,,
75,180424_01_1,,
76,180424_04_1,,
77,180424_07_1,,
78,180424_08_1,,
79,180424_10_1,1,
80,180424_11_1,1,
81,180501_10_1,,
82,180501_12_2,,
83,180501_13_1,1,
84,180501_14_2,1,
85,180501_15_1,,
86,180501_16_2,1,
87,180504_04_3,,
88,180504_06_1,,
89,180504_11_1,,
90,180504_13_2,,
91,180504_14_1,,
92,180504_15_1,,
93,180504_16_2, ,
94,180506_02_1,,
95,180506_07_1,,
96,180506_08_2,,
97,180506_09_1,,
98,180506_10_2,,
99,180506_11_2,,
100,180506_12_1,,
101,180506_13_2,,
102,180506_14_2,,
103,180506_15_1,,
104,180506_16_1,,
105,180508_01_1,,
106,180508_02_1,,
107,180508_02_2,,
108,180508_03_1,,
109,180508_03_2,1,
110,180508_04_1,,
111,180508_05_2,1,
112,180508_05_3,,
113,180508_06_2,1,
114,180508_07_2,1,
115,180508_08_2,1,
116,180508_09_2,1,
117,180508_10_3,1,
118,180508_11_2,1,
119,180508_12_2,,
120,180508_13_2,,
121,180508_14_2,1,
122,180508_15_1,1,
123,180508_15_2,1,
124,180508_16_1,,
125,180508_16_2,,
126,180511_04_1,,
127,180511_05_3,1,
128,180511_06_1,1,
129,180511_08_3,1,
130,180511_09_2,,
131,180511_10_2,1,
132,180511_11_1,,
133,180511_11_3,1,
134,180511_12_1,1,
135,180511_13_2,1,
136,180511_14_2,,
137,180511_15_1,,
138,180511_15_2,1,
139,180511_16_1,,
140,180513_07_1,,
141,180513_08_1,,
142,180513_08_2,,
143,180513_10_2,,
144,180513_11_2,,
145,180513_12_1,,
146,180513_13_2,,
147,180513_14_2,,
148,180513_15_1,,
149,180513_15_2,,
150,180513_16_2,,
151,180515_03_2,,
152,180515_04_1,,
153,180515_04_2,,
154,180515_05_2,1,
155,180515_06_2,1,
156,180515_07_2,,
157,180515_08_1,,
158,180515_08_2,,suppressed
159,180515_09_2,,suppressed
160,180515_10_2,,suppressed
161,180515_10_3,,suppressed
162,180515_16_2,,suppressed
163,180520_06_1,,
164,180520_07_2,,
165,180520_08_2,,
166,180520_09_1,,
167,180520_10_2,,
168,180523_05_1,,
