date,area,granular,animal,coordinate_x,coordinate_y,valid
180224,TEd,7,Thor,-1,-3,0
180317,TEm,9,Thor,2.5,-3,0
180325,TEm,7,Thor,1,-2,1
180407,TEd,6,Thor,1,-1,0
180411,TEd,7,Thor,1,-2,1
180413,TEm,7,Thor,1,-2,0
180418,TEd,6,Thor,1,-2,0
180420,TEm,6,Thor,1,-2,0
180424,TEd,6,Thor,1,-2,1
180501,TEd,11,Thor,1,-2,0
180504,TEd,12,Thor,2,-1,0
180506,TEd,11,Thor,2,-1,0
180508,TEm,8,Thor,2,-1,1
180511,TEm,11,Thor,2,-1,0
180513,TEd,10,Thor,2,-1,0
180515,TEm,,Thor,2,-1,0
180520,TEm,,Thor,2,-1,0
180523,TEd,9,Thor,0,-3,0
180530,TEd,10,Thor,3,0,1
180603,TEm,8,Thor,3,0,1
180606,TEd,10,Thor,3,0,1
180610,TEd,8,Thor,3,0,1
180614,TEm,6,Thor,3,0,0
180617,TEd,8,Thor,3,0,0
180620,TEd,9,Thor,1,-2,1
180622,TEd,8,Thor,1,-2,0
180624,TEd,8,Thor,1,-2,1
161015,TEd,7,Dante,0,0,1
161023,TEm,,Dante,0,0,1
161026,TEm,8,Dante,0,0,1
161029,TEd,7,Dante,0,0,1
161118,TEm,9,Dante,0,0,1
161121,TEm,5,Dante,0,0,1
161125,TEm,7,Dante,0,0,1
161202,TEm,6,Dante,0,0,1
161206,TEd,8,Dante,0,0,1
161222,TEm,7,Dante,0,0,1
161228,TEd,8,Dante,0,0,1
170103,TEd,8,Dante,0,0,1
170106,TEm,3,Dante,0,0,1
170113,TEd,7,Dante,0,0,1
170117,TEd,6,Dante,0,0,1
170214,TEd,,Dante,0,0,1
170221,TEd,,Dante,0,0,1
180724,,,Thor,,,1
180728,,,Thor,,,1
180730,,,Thor,,,1
180803,TEd,,Thor,0,0,0
180807,TEm,,Thor,0,0,1
180811,TEm,,Thor,0,0,1
180818,TEm,,Thor,0,0,0
180825,TEm,,Thor,1,-2,1
180831,TEm,,Thor,1,-2,1
180904,TEm,,Thor,1,-2,1
180909,TEm,,Thor,1,-2,1
