tankname	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
GM32_U16-161015-135134	38.00	42.00	44.00	47.00	48.00	40.00	42.00	46.00	56.00	53.00	34.00	45.00	18.00	51.00	48.00	50.00	39.00	45.00	53.00	49.00	49.00	42.00	32.00	41.00	46.00	47.00	76.00	43.00	44.00	16.00	56.00	56.00
GM32_U16-161023-151328	38.00	42.00	48.00	47.00	48.00	40.00	42.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	45.00	47.00	46.00	49.00	46.00	32.00	41.00	48.00	47.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161026-150134	38.00	42.00	48.00	47.00	48.00	40.00	42.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	45.00	47.00	46.00	49.00	46.00	32.00	41.00	48.00	47.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161029-150743	38.00	41.00	48.00	47.00	46.00	40.00	42.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	40.00	44.00	46.00	49.00	47.00	32.00	41.00	48.00	48.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161118-132556	39.00	42.00	49.00	47.00	46.00	40.00	43.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	40.00	44.00	46.00	49.00	47.00	32.00	41.00	49.00	48.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161121-143341	39.00	42.00	49.00	47.00	46.00	40.00	43.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	40.00	44.00	46.00	49.00	47.00	32.00	41.00	49.00	48.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161125-144728	39.00	42.00	49.00	47.00	46.00	40.00	43.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	40.00	44.00	46.00	49.00	47.00	32.00	41.00	49.00	48.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161202-115214	39.00	42.00	49.00	47.00	46.00	40.00	43.00	46.00	49.00	53.00	34.00	45.00	18.00	48.00	48.00	50.00	39.00	40.00	44.00	46.00	49.00	47.00	32.00	41.00	49.00	48.00	76.00	43.00	44.00	16.00	56.00	53.00
GM32_U16-161206-130828	42.00	45.00	50.00	48.00	48.00	42.00	45.00	46.00	51.00	54.00	35.00	46.00	18.00	50.00	50.00	51.00	40.00	41.00	46.00	46.00	50.00	47.00	32.00	41.00	49.00	49.00	76.00	44.00	44.00	16.00	56.00	53.00
GM32_U16-161222-124908	46.00	48.00	53.00	54.00	51.00	47.00	46.00	50.00	54.00	57.00	40.00	49.00	18.00	55.00	52.00	51.00	50.00	48.00	59.00	49.00	52.00	52.00	32.00	41.00	51.00	50.00	76.00	46.00	44.00	16.00	56.00	54.00
GM32_U16-161228-132834	57.00	61.00	64.00	62.00	60.75	55.00	58.00	63.00	63.00	63.50	51.25	57.50	18.00	68.00	64.00	63.75	66.00	62.00	74.00	61.00	65.00	66.00	32.00	41.00	63.00	63.00	76.00	51.50	44.00	16.00	56.00	54.00
Dante_GM32_U16-170103-133808	62.00	64.00	69.00	70.00	63.75	59.00	59.00	66.50	63.00	67.00	55.25	62.00	18.00	70.00	65.00	64.00	75.00	64.00	74.00	65.25	68.00	67.00	32.00	41.00	65.50	64.00	76.00	53.75	44.00	16.00	56.00	54.00
Dante_GM32_U16-170106-125024	66.75	67.00	73.00	72.00	70.25	61.50	59.00	68.00	63.00	69.00	56.75	63.00	18.00	72.00	67.00	65.75	75.00	68.00	76.00	67.75	70.75	68.00	32.00	41.00	68.50	65.25	76.00	54.00	44.00	16.00	56.00	54.00
Dante_GM32_U16-170113-135421	70.75	71.00	76.25	75.50	75.50	68.00	68.00	71.00	63.00	74.00	60.25	68.00	13.00	76.00	76.00	75.50	76.00	73.75	81.75	75.00	78.00	77.00	32.00	41.00	71.50	66.25	76.00	61.75	44.00	16.00	56.00	63.00
Dante_GM32_U16-170117-140836	75.75	72.00	76.25	75.75	75.50	68.00	72.00	76.00	63.00	78.00	60.75	68.50	13.00	78.00	77.75	75.50	76.00	74.75	84.75	77.00	79.50	77.00	32.00	41.00	71.50	66.25	76.00	62.25	44.00	16.00	56.00	67.50
Dante_GM32_U16-170214-150917	77.00	74.00	77.50	76.25	76.00	69.00	73.00	78.00	63.00	78.50	60.75	69.25	13.00	79.00	78.25	76.00	78.00	76.75	85.75	78.00	79.75	78.00	32.00	41.00	76.50	66.25	76.00	63.00	44.00	16.00	56.00	69.25
